Equipo;season;Pais;Partidosjugados
Switzerland;2022;Switzerland;4;
Serbia;2022;Serbia;3;
Spain;2022;Spain;4;
Portugal;2022;Portugal;5;
Poland;2022;Poland;4;
Germany;2022;Germany;3;
England;2022;England;5;
Belgium;2022;Belgium;3;
Netherlands;2022;Netherlands;5;
France;2022;France;7;
Croatia;2022;Croatia;7;
Denmark;2022;Denmark;3;
Japan;2022;Japan;4;
Saudi Arabia;2022;Saudi Arabia;3;
Qatar;2022;Qatar;3;
Iran;2022;Iran;3;
South Korea;2022;South Korea;4;
Argentina;2022;Argentina;7;
Uruguay;2022;Uruguay;3;
Ecuador;2022;Ecuador;3;
Ghana;2022;Ghana;3;
Brazil;2022;Brazil;5;
USMNT;2022;USA;4;
Cameroon;2022;Cameroon;3;
Mexico;2022;Mexico;3;
Senegal;2022;Senegal;4;
Canada;2022;Canada;3;
Morocco;2022;Morocco;7;
Tunisia;2022;Tunisia;3;
Wales;2022;Wales;3;
Australia;2022;Australia;4;
Costa Rica;2022;Costa Rica;3;
